catalyst,Gn(eV),fai1,fai3,I1,Rd-0.07,"Hf,ox(eV)-0.08",TM-N/O-0.13,d band center,MN,mode
ScPy-DC-eNO,-0.815243713,13.52,19,6.562,59.2,-10.45,2.0403,-1.442186466,11,1
TiPy-DC,-2.330118567,27.4,19,6.828,52.8,-11.39,1.79605,-1.134927827,43,1
VPy-DC,-2.148287811,41.37,19,6.746,47.9,-8.15,1.68918,-0.547013411,46,1
CrPy-DC,-1.429186345,69.1,19,6.767,45.5,-6.26,1.64664,-0.294063715,49,1
MnPy-DC,-1.593966783,68.55,19,7.434,40.9,-5.49,1.61338,-2.207572701,52,1
FePy-DC,-1.348246225,83.94,19,7.903,38.2,-6.45,1.70852,-1.823237604,55,1
CoPy-DC,-0.998501832,98.28,19,7.881,35.8,-5.6,1.81715,-1.588359437,58,1
NiPy-DC,0.0984301,112.56,19,7.64,33.8,-4.75,1.9186,-1.888532675,61,1
CuPy-DC,0.408923655,140.6,19,7.727,32.5,-3.26,2.48829,-2.976256711,64,1
ZnPy-DC,0.34768954,138.1,19,9.394,30.4,-2.19,2.41493,-4.785508749,69,1
YPy-DC,-1.681368062,13.38,19,6.22,93.9,-10.4,2.23854,-1.073680321,12,1
NbPy-DC,-3.334595847,55.04,19,6.759,78.9,-12.07,1.81497,-1.472048032,47,1
MoPy-DC,-2.719925102,71.6,19,7.092,72.9,-7.71,1.76838,-0.553807227,50,1
RuPy-DC,-1.752855435,100.52,19,7.361,63.9,-6.14,1.84393,-1.54442896,56,1
RhPy-DC,-1.018870191,115.52,19,7.459,60.4,-4.87,1.96603,-1.59497822,59,1
PdPy-DC,0.405401041,143.6,19,8.337,58,-2.81,2.37845,-2.583295325,62,1
AgPy-DC,0.630735208,140.9,19,7.576,54.7,-0.9,3.09855,-4.242962971,65,1
HfPy-DC,-2.482653036,26.92,19,6.825,87.6,-13.58,1.9464,-1.514595423,45,1
TaPy-DC,-3.283130785,40.98,19,7.89,82,-13.88,1.81372,-1.625942738,48,1
WPy-DC,-3.248343557,58.08,19,7.98,77.6,-9.64,1.77153,-1.411471463,51,1
RePy-DC,-3.042988592,70.3,19,7.88,73.9,-8.93,1.73939,-1.68728074,54,1
OsPy-DC,-1.940194704,86.16,19,8.71,70.6,-6.21,1.82879,-1.418601705,57,1
IrPy-DC,-1.145835009,100.52,19,9.12,67.8,-6.51,1.98226,-1.675203732,60,1
PtPy-DC,0.356795358,129.96,19,9.02,65.9,-3.38,2.57754,-2.43591854,63,1
ScPy-DN,-0.957090821,13.52,12.16,6.562,59.2,-10.45,2.04206,-1.382638994,11,1
