catalyst,Gn(eV),fai1,fai3,I1,Rd-0.07,"Hf,ox(eV)-0.08",TM-N/O-0.13,d band center,MN,mode
TiPy-DN,-1.936279629,27.4,12.16,6.828,52.8,-11.39,1.81274,-0.858823448,43,1
VPy-DN,-2.025628097,41.37,12.16,6.746,47.9,-8.15,1.69663,-0.545765114,46,1
CrPy-DN,-1.387206356,69.1,12.16,6.767,45.5,-6.26,1.65279,-0.220512748,49,1
MnPy-DN,-1.192524653,68.55,12.16,7.434,40.9,-5.49,1.61837,-2.22656827,52,1
FePy-DN,-1.217198141,83.94,12.16,7.903,38.2,-6.45,1.70739,-1.875276375,55,1
CoPy-DN,-0.99613073,98.28,12.16,7.881,35.8,-5.6,1.82847,-1.551759277,58,1
NiPy-DN,0.11703329,112.56,12.16,7.64,33.8,-4.75,1.92852,-1.765829519,61,1
CuPy-DN,0.255423399,140.6,12.16,7.727,32.5,-3.26,2.51064,-2.908018119,64,1
ZnPy-DN,0.375185273,138.1,12.16,9.394,30.4,-2.19,2.48263,-4.569254521,69,1
YPy-DN,-0.752605494,13.38,12.16,6.22,93.9,-10.4,2.27367,-0.948440805,12,1
NbPy-DN,-2.929958611,55.04,12.16,6.759,78.9,-12.07,1.82342,-0.779425634,47,1
MoPy-DN,-2.585323619,71.6,12.16,7.092,72.9,-7.71,1.77636,-0.485935129,50,1
RuPy-DN,-1.582592599,100.52,12.16,7.361,63.9,-6.14,1.86114,-1.560646823,56,1
RhPy-DN,-1.196389579,115.52,12.16,7.459,60.4,-4.87,1.99188,-1.595209024,59,1
PdPy-DN,0.630850218,143.6,12.16,8.337,58,-2.81,2.57566,-2.352783865,62,1
AgPy-DN,0.466929603,140.9,12.16,7.576,54.7,-0.9,3.13167,-4.314205299,65,1
HfPy-DN,-2.101384096,26.92,12.16,6.825,87.6,-13.58,1.96465,-1.637965712,45,1
TaPy-DN,-3.083985897,40.98,12.16,7.89,82,-13.88,1.82092,-1.597384079,48,1
WPy-DN,-3.031436362,58.08,12.16,7.98,77.6,-9.64,1.77805,-0.678051614,51,1
RePy-DN,-2.816782251,70.3,12.16,7.88,73.9,-8.93,1.74424,-1.652204598,54,1
OsPy-DN,-1.87928236,86.16,12.16,8.71,70.6,-6.21,1.81989,-1.601531386,57,1
IrPy-DN,-1.278865268,100.52,12.16,9.12,67.8,-6.51,2.00053,-1.633145931,60,1
PtPy-DN,0.437767302,129.96,12.16,9.02,65.9,-3.38,2.58746,-2.211117824,63,1
AuPy-DN,0.480785709,147,12.16,9.225,63.5,-0.4,3.26685,-4.986506795,66,1
ScPy-DO,-1.080270382,13.52,13.76,6.562,59.2,-10.45,2.04936,-1.22202162,11,1
TiPy-DO,-2.054963914,27.4,13.76,6.828,52.8,-11.39,1.80245,-0.953202443,43,1
VPy-DO,-1.841111804,41.37,13.76,6.746,47.9,-8.15,1.70238,-0.789209126,46,1
CrPy-DO,-1.373741859,69.1,13.76,6.767,45.5,-6.26,1.64599,-0.518726323,49,1
MnPy-DO,-1.302674997,68.55,13.76,7.434,40.9,-5.49,1.61154,-1.571996504,52,1
FePy-DO,-1.268640553,83.94,13.76,7.903,38.2,-6.45,1.70626,-2.073109278,55,1
CoPy-DO,-0.983724508,98.28,13.76,7.881,35.8,-5.6,1.81335,-0.518726323,58,1
NiPy-DO,0.141473222,112.56,13.76,7.64,33.8,-4.75,1.92992,-1.82203206,61,1
CuPy-DO,0.386086621,140.6,13.76,7.727,32.5,-3.26,2.85935,-2.425262857,64,1
ZnPy-DO,0.579848499,138.1,13.76,9.394,30.4,-2.19,2.50886,-4.427716027,69,1
YPy-DO,-1.396535662,13.38,13.76,6.22,93.9,-10.4,2.27483,-0.855359737,12,1
NbPy-DO,-2.641506296,55.04,13.76,6.759,78.9,-12.07,1.82215,-1.525278425,47,1
MoPy-DO,-2.585754928,71.6,13.76,7.092,72.9,-7.71,1.76861,-1.160699526,50,1
RuPy-DO,-1.656532985,100.52,13.76,7.361,63.9,-6.14,1.83762,-1.833961598,56,1
RhPy-DO,-0.966289737,115.52,13.76,7.459,60.4,-4.87,1.95844,-1.810794071,59,1
PdPy-DO,0.587080273,143.6,13.76,8.337,58,-2.81,2.57666,-2.49338417,62,1
AgPy-DO,0.598028542,140.9,13.76,7.576,54.7,-0.9,3.31716,-4.204573573,65,1
HfPy-DO,-2.433902918,26.92,13.76,6.825,87.6,-13.58,1.97029,-1.630794644,45,1
TaPy-DO,-2.871014202,40.98,13.76,7.89,82,-13.88,1.81765,-1.774672365,48,1
WPy-DO,-3.011898273,58.08,13.76,7.98,77.6,-9.64,1.77207,-1.54002014,51,1
RePy-DO,-3.039841041,70.3,13.76,7.88,73.9,-8.93,1.73902,-1.911466363,54,1
OsPy-DO,-1.725605078,86.16,13.76,8.71,70.6,-6.21,1.80764,-1.656394916,57,1
IrPy-DO,-0.920401136,100.52,13.76,9.12,67.8,-6.51,1.98632,-1.8730815,60,1
PtPy-DO,0.387819024,129.96,13.76,9.02,65.9,-3.38,2.4779,-2.403911967,63,1
AuPy-DO,0.351750275,147,13.76,9.225,63.5,-0.4,3.35205,-4.898678174,66,1
ScPy-DF,-1.163782686,13.52,15.92,6.562,59.2,-10.45,2.037,-1.562435329,11,1
TiPy-DF,-2.116172145,27.4,15.92,6.828,52.8,-11.39,1.7996,-0.89648613,43,1
VPy-DF,-2.091887596,41.37,15.92,6.746,47.9,-8.15,1.6927,-0.632543559,46,1
CrPy-DF,-1.383581113,69.1,15.92,6.767,45.5,-6.26,1.64849,-0.385113312,49,1
MnPy-DF,-1.336846317,68.55,15.92,7.434,40.9,-5.49,1.61502,-2.235006612,52,1
FePy-DF,-1.309954189,83.94,15.92,7.903,38.2,-6.45,1.71121,-1.840227034,55,1
CoPy-DF,-0.968688153,98.28,15.92,7.881,35.8,-5.6,1.82383,-1.597628971,58,1
NiPy-DF,0.050747731,112.56,15.92,7.64,33.8,-4.75,1.90155,-1.859229156,61,1
CuPy-DF,0.414279138,140.6,15.92,7.727,32.5,-3.26,2.62607,-2.512653917,64,1
ZnPy-DF,0.352761504,138.1,15.92,9.394,30.4,-2.19,2.41263,-4.594097655,69,1
YPy-DF,-1.367750775,13.38,15.92,6.22,93.9,-10.4,2.23823,-1.181809131,12,1
NbPy-DF,-2.97482177,55.04,15.92,6.759,78.9,-12.07,1.81668,-1.466418898,47,1
MoPy-DF,-2.666666902,71.6,15.92,7.092,72.9,-7.71,1.77015,-0.742827534,50,1
RuPy-DF,-1.72972406,100.52,15.92,7.361,63.9,-6.14,1.84533,-1.532788747,56,1
RhPy-DF,-1.088232118,115.52,15.92,7.459,60.4,-4.87,1.97457,-1.612663054,59,1
PdPy-DF,0.520375496,143.6,15.92,8.337,58,-2.81,2.57945,-2.531600275,62,1
AgPy-DF,0.381586868,140.9,15.92,7.576,54.7,-0.9,3.09018,-4.133151701,65,1
HfPy-DF,-2.452528676,26.92,15.92,6.825,87.6,-13.58,1.95173,-1.721607574,45,1
TaPy-DF,-3.2510279,40.98,15.92,7.89,82,-13.88,1.81528,-1.626329475,48,1
WPy-DF,-3.156342827,58.08,15.92,7.98,77.6,-9.64,1.77258,-1.294822758,51,1
RePy-DF,-3.014016169,70.3,15.92,7.88,73.9,-8.93,1.73401,-1.802336923,54,1
OsPy-DF,-2.009830928,86.16,15.92,8.71,70.6,-6.21,1.81698,-1.574372406,57,1
IrPy-DF,-1.193220757,100.52,15.92,9.12,67.8,-6.51,1.99051,-1.676990548,60,1
PtPy-DF,0.386719116,129.96,15.92,9.02,65.9,-3.38,2.55115,-2.414121461,63,1
AuPy-DF,0.394727537,147,15.92,9.225,63.5,-0.4,3.30196,-4.688414464,66,1
ScPy-DC-sNO,-0.843441804,13.52,19,6.562,59.2,-10.45,2.13852,-1.442186466,11,2
TiPy-DC,-2.188848609,27.4,19,6.828,52.8,-11.39,1.91457,-1.134927827,43,2
VPy-DC,-1.582036886,41.37,19,6.746,47.9,-8.15,1.77367,-0.547013411,46,2
YPy-DC,-1.471948986,13.38,19,6.22,93.9,-10.4,2.23854,-1.073680321,12,2
NbPy-DC,-3.339643643,55.04,19,6.759,78.9,-12.07,1.89532,-1.472048032,47,2
MoPy-DC,-1.650103243,71.6,19,7.092,72.9,-7.71,1.87407,-0.553807227,50,2
TaPy-DC,-3.306455302,40.98,19,7.89,82,-13.88,1.89679,-1.625942738,48,2
WPy-DC,-2.317855974,58.08,19,7.98,77.6,-9.64,1.86936,-1.411471463,51,2
RePy-DC,-1.625393351,70.3,19,7.88,73.9,-8.93,1.8668,-1.68728074,54,2
ScPy-DN,-0.526176225,13.52,12.16,6.562,59.2,-10.45,2.16675,-1.382638994,11,2
TiPy-DN,-1.713656546,27.4,12.16,6.828,52.8,-11.39,1.92491,-0.858823448,43,2
VPy-DN,-1.34702995,41.37,12.16,6.746,47.9,-8.15,1.77605,-0.545765114,46,2
CrPy-DN,-0.058876442,69.1,12.16,6.767,45.5,-6.26,1.82325,-0.220512748,49,2
YPy-DN,-1.037241089,13.38,12.16,6.22,93.9,-10.4,2.39941,-0.948440805,12,2
NbPy-DN,-2.782017316,55.04,12.16,6.759,78.9,-12.07,1.89733,-0.779425634,47,2
MoPy-DN,-1.467060492,71.6,12.16,7.092,72.9,-7.71,1.8856,-0.485935129,50,2
HfPy-DN,-2.051617052,26.92,12.16,6.825,87.6,-13.58,2.07709,-1.637965712,45,2
TaPy-DN,-2.869544423,40.98,12.16,7.89,82,-13.88,1.89773,-1.597384079,48,2
WPy-DN,-2.184320604,58.08,12.16,7.98,77.6,-9.64,1.87392,-0.678051614,51,2
RePy-DN,-1.440579154,70.3,12.16,7.88,73.9,-8.93,1.87605,-1.652204598,54,2
ScPy-DO,-0.696656788,13.52,13.76,6.562,59.2,-10.45,2.20966,-1.22202162,11,2
TiPy-DO,-1.964665516,27.4,13.76,6.828,52.8,-11.39,1.92668,-0.953202443,43,2
VPy-DO,-1.499244892,41.37,13.76,6.746,47.9,-8.15,1.77935,-0.789209126,46,2
CrPy-DO,-0.254507368,69.1,13.76,6.767,45.5,-6.26,1.79711,-0.518726323,49,2
YPy-DO,-1.364078532,13.38,13.76,6.22,93.9,-10.4,2.41284,-0.855359737,12,2
NbPy-DO,-2.783768129,55.04,13.76,6.759,78.9,-12.07,1.91038,-1.525278425,47,2
MoPy-DO,-1.673866844,71.6,13.76,7.092,72.9,-7.71,1.87671,-1.160699526,50,2
HfPy-DO,-2.510370007,26.92,13.76,6.825,87.6,-13.58,2.08163,-1.630794644,45,2
TaPy-DO,-3.149587814,40.98,13.76,7.89,82,-13.88,1.90256,-1.774672365,48,2
WPy-DO,-2.294817441,58.08,13.76,7.98,77.6,-9.64,1.87221,-1.54002014,51,2
RePy-DO,-1.668307819,70.3,13.76,7.88,73.9,-8.93,1.86421,-1.911466363,54,2
ScPy-DF,-0.67212872,13.52,15.92,6.562,59.2,-10.45,2.14559,-1.562435329,11,2
TiPy-DF,-1.957429366,27.4,15.92,6.828,52.8,-11.39,1.91648,-0.89648613,43,2
VPy-DF,-1.503927838,41.37,15.92,6.746,47.9,-8.15,1.77411,-0.632543559,46,2
CrPy-DF,-0.154865598,69.1,15.92,6.767,45.5,-6.26,1.80318,-0.385113312,49,2
YPy-DF,-1.24506961,13.38,15.92,6.22,93.9,-10.4,2.39353,-1.181809131,12,2
NbPy-DF,-2.954102645,55.04,15.92,6.759,78.9,-12.07,1.89545,-1.466418898,47,2
MoPy-DF,-1.576349066,71.6,15.92,7.092,72.9,-7.71,1.94614,-0.742827534,50,2
HfPy-DF,-2.597343735,26.92,15.92,6.825,87.6,-13.58,2.05162,-1.721607574,45,2
TaPy-DF,-3.224332452,40.98,15.92,7.89,82,-13.88,1.89577,-1.626329475,48,2
WPy-DF,-2.201609183,58.08,15.92,7.98,77.6,-9.64,1.86986,-1.294822758,51,2
RePy-DF-sNO,-1.579048868,70.3,15.92,7.88,73.9,-8.93,1.982425,-1.802336923,54,2
