catalyst,Gn(eV),fai1,fai3,I1,Rd-0.07,"Hf,ox(eV)-0.08",TM-N/O-0.13,d band center,MN,mode
RePy-DO,1.123465693,70.3,13.76,7.88,73.9,-8.93,1.7843,-1.911466363,54,1
OsPy-DO,0.394910639,86.16,13.76,8.71,70.6,-6.21,1.82129,-1.656394916,57,1
IrPy-DO,1.035129194,100.52,13.76,9.12,67.8,-6.51,1.9316,-1.8730815,60,1
ScPy-DF,0.745884175,13.52,15.92,6.562,59.2,-10.45,1.94206,-1.562435329,11,1
TiPy-DF,-0.042191061,27.4,15.92,6.828,52.8,-11.39,1.70272,-0.89648613,43,1
VPy-DF,0.35124667,41.37,15.92,6.746,47.9,-8.15,1.65863,-0.632543559,46,1
CrPy-DF,0.950989139,69.1,15.92,6.767,45.5,-6.26,1.72615,-0.385113312,49,1
MnPy-DF,1.050535063,68.55,15.92,7.434,40.9,-5.49,1.69365,-2.235006612,52,1
FePy-DF,0.798211886,83.94,15.92,7.903,38.2,-6.45,1.69933,-1.840227034,55,1
CoPy-DF,1.297411688,98.28,15.92,7.881,35.8,-5.6,1.83075,-1.597628971,58,1
NiPy-DF,1.285150431,112.56,15.92,7.64,33.8,-4.75,1.87433,-1.859229156,61,1
CuPy-DF,1.163667485,140.6,15.92,7.727,32.5,-3.26,2.24451,-2.512653917,64,1
ZnPy-DF,1.067511077,138.1,15.92,9.394,30.4,-2.19,2.162,-4.594097655,69,1
YPy-DF,0.722537485,13.38,15.92,6.22,93.9,-10.4,2.13932,-1.181809131,12,1
NbPy-DF,0.389811529,55.04,15.92,6.759,78.9,-12.07,1.79404,-1.466418898,47,1
MoPy-DF,1.150717638,71.6,15.92,7.092,72.9,-7.71,1.73875,-0.742827534,50,1
RuPy-DF,0.464371184,100.52,15.92,7.361,63.9,-6.14,1.81433,-1.532788747,56,1
RhPy-DF,1.214854088,115.52,15.92,7.459,60.4,-4.87,1.95479,-1.612663054,59,1
HfPy-DF,-0.164453142,26.92,15.92,6.825,87.6,-13.58,1.85839,-1.721607574,45,1
TaPy-DF,0.476087618,40.98,15.92,7.89,82,-13.88,1.78304,-1.626329475,48,1
WPy-DF,0.999991166,58.08,15.92,7.98,77.6,-9.64,1.74345,-1.294822758,51,1
RePy-DF,1.235972381,70.3,15.92,7.88,73.9,-8.93,1.7959,-1.802336923,54,1
OsPy-DF,0.372257643,86.16,15.92,8.71,70.6,-6.21,1.81558,-1.574372406,57,1
IrPy-DF-eNOH,1.105172037,100.52,15.92,9.12,67.8,-6.51,1.95636,-1.676990548,60,1
TiPy-DC-eNHO,0.297671143,27.4,19,6.828,52.8,-11.39,1.82173,-1.134927827,43,2
VPy-DC-eNHO,0.741401547,41.37,19,6.746,47.9,-8.15,1.88396,-0.547013411,46,2
CrPy-DC,0.579334353,69.1,19,6.767,45.5,-6.26,1.83762,-0.294063715,49,2
MnPy-DC,0.688367676,68.55,19,7.434,40.9,-5.49,1.77872,-2.207572701,52,2
FePy-DC,0.274455725,83.94,19,7.903,38.2,-6.45,1.74449,-1.823237604,55,2
CoPy-DC,0.566709869,98.28,19,7.881,35.8,-5.6,1.89126,-1.588359437,58,2
NiPy-DC,0.455015328,112.56,19,7.64,33.8,-4.75,1.95063,-1.888532675,61,2
CuPy-DC,0.273313404,140.6,19,7.727,32.5,-3.26,2.32729,-2.976256711,64,2
ZnPy-DC,-0.00097579,138.1,19,9.394,30.4,-2.19,2.14441,-4.785508749,69,2
NbPy-DC,0.898370894,55.04,19,6.759,78.9,-12.07,1.90979,-1.472048032,47,2
MoPy-DC,1.067442907,71.6,19,7.092,72.9,-7.71,1.93594,-0.553807227,50,2
